game,window,gap_s,prev_time,prev_price,prev_ticker,curr_time,curr_price,curr_ticker
2025-Christmas-MIN-DEN,close_game(35-65c),37.6,2025-12-26 00:11:29.846310+00:00,0.5100,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-26 00:12:07.486511+00:00,0.5000,KXNBAGAME-25DEC25MINDEN-DEN
2025-Finals-G7-OKC-IND,close_game(35-65c),37.6,2025-06-17 15:05:31.617873+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND,2025-06-17 15:06:09.207891+00:00,0.6400,KXNBAGAME-25JUN19OKCIND-OKC
2025-Christmas-MIN-DEN,close_game(35-65c),37.5,2025-12-25 17:56:59.695951+00:00,0.4700,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 17:57:37.206611+00:00,0.4700,KXNBAGAME-25DEC25MINDEN-MIN
2025-Finals-G7-OKC-IND,close_game(35-65c),37.5,2025-06-17 06:10:32.666679+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND,2025-06-17 06:11:10.160873+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND
2025-Finals-G7-OKC-IND,close_game(35-65c),37.5,2025-06-17 06:01:17.458741+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND,2025-06-17 06:01:54.976601+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND
2025-Christmas-MIN-DEN,close_game(35-65c),37.5,2025-12-25 06:37:11.151313+00:00,0.4500,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 06:37:48.691279+00:00,0.5700,KXNBAGAME-25DEC25MINDEN-DEN
2026-Playoffs-GSW-LAC,close_game(35-65c),37.4,2026-04-13 22:57:44.344773+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-13 22:58:21.750575+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2025-Christmas-MIN-DEN,close_game(35-65c),37.4,2025-12-25 04:30:13.146821+00:00,0.4400,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 04:30:50.532100+00:00,0.5600,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),37.4,2025-12-25 19:54:28.045584+00:00,0.5200,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-25 19:55:05.448267+00:00,0.5200,KXNBAGAME-25DEC25MINDEN-DEN
2025-Finals-G5-OKC-IND,last20min,37.4,2025-06-14 03:40:50.568538+00:00,0.0100,KXNBAGAME-25JUN13OKCIND-IND,2025-06-14 03:41:27.952617+00:00,0.9900,KXNBAGAME-25JUN13OKCIND-OKC
2025-Christmas-MIN-DEN,close_game(35-65c),37.4,2025-12-25 06:16:21.242581+00:00,0.4400,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 06:16:58.691561+00:00,0.4400,KXNBAGAME-25DEC25MINDEN-MIN
2025-Finals-G7-OKC-IND,close_game(35-65c),37.4,2025-06-17 12:45:56.097935+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND,2025-06-17 12:46:33.451593+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND
2025-Finals-G7-OKC-IND,close_game(35-65c),37.4,2025-06-17 18:03:34.038525+00:00,0.6400,KXNBAGAME-25JUN19OKCIND-OKC,2025-06-17 18:04:11.408235+00:00,0.6400,KXNBAGAME-25JUN19OKCIND-OKC
2026-Regular-DEN-OKC,close_game(35-65c),37.4,2026-02-26 18:46:50.956783+00:00,0.4000,KXNBAGAME-26FEB27DENOKC-DEN,2026-02-26 18:47:28.316596+00:00,0.4000,KXNBAGAME-26FEB27DENOKC-DEN
